"subject" "activity" "domain" "signal_type" "signal_source" "parameter" "axis" "mean(value)"
"1" "laying" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.89753400445
"1" "laying" "fourier.transform" "accelerometer" "body" "mean" "x" -0.9480864681
"1" "laying" "fourier.transform" "accelerometer" "body" "mean" "y" -0.89476390749
"1" "laying" "fourier.transform" "accelerometer" "body" "mean" "z" -0.9153638902
"1" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.860052458
"1" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.9442990716
"1" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.88292171325
"1" "laying" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.88673927332
"1" "laying" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.902278566
"1" "laying" "fourier.transform" "gyroscope" "body" "mean" "x" -0.850249174586
"1" "laying" "fourier.transform" "gyroscope" "body" "mean" "y" -0.9521914948
"1" "laying" "fourier.transform" "gyroscope" "body" "mean" "z" -0.909302721
"1" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.87849005364
"1" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.8822964508
"1" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "y" -0.9512320494
"1" "laying" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.9165825082
"1" "laying" "time" "accelerometer" "body" "mean" "magnitude" -0.89816270855
"1" "laying" "time" "accelerometer" "body" "mean" "x" 0.15134238907
"1" "laying" "time" "accelerometer" "body" "mean" "y" -0.0183378747103
"1" "laying" "time" "accelerometer" "body" "mean" "z" -0.0511846586095
"1" "laying" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.86169524613
"1" "laying" "time" "accelerometer" "body" "std.deviation" "x" -0.9432692906
"1" "laying" "time" "accelerometer" "body" "std.deviation" "y" -0.88048833961
"1" "laying" "time" "accelerometer" "body" "std.deviation" "z" -0.890458256214
"1" "laying" "time" "accelerometer" "gravity" "mean" "magnitude" -0.8419291525
"1" "laying" "time" "accelerometer" "gravity" "mean" "x" -0.24888179828
"1" "laying" "time" "accelerometer" "gravity" "mean" "y" 0.70554977346
"1" "laying" "time" "accelerometer" "gravity" "mean" "z" 0.4458177198
"1" "laying" "time" "accelerometer" "gravity" "std.deviation" "magnitude" -0.79514486386
"1" "laying" "time" "accelerometer" "gravity" "std.deviation" "x" -0.8968300184
"1" "laying" "time" "accelerometer" "gravity" "std.deviation" "y" -0.90772000676
"1" "laying" "time" "accelerometer" "gravity" "std.deviation" "z" -0.85236629022
"1" "laying" "time" "gyroscope" "body" "mean" "magnitude" -0.919110289
"1" "laying" "time" "gyroscope" "body" "mean" "x" -0.061912021585
"1" "laying" "time" "gyroscope" "body" "mean" "y" -0.053001705489
"1" "laying" "time" "gyroscope" "body" "mean" "z" 0.03731965758
"1" "laying" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.87742557628
"1" "laying" "time" "gyroscope" "body" "std.deviation" "x" -0.89607619431
"1" "laying" "time" "gyroscope" "body" "std.deviation" "y" -0.9594988419
"1" "laying" "time" "gyroscope" "body" "std.deviation" "z" -0.9330374111
"1" "sitting" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.966522524680851
"1" "sitting" "fourier.transform" "accelerometer" "body" "mean" "x" -0.983119130638298
"1" "sitting" "fourier.transform" "accelerometer" "body" "mean" "y" -0.962832008723404
"1" "sitting" "fourier.transform" "accelerometer" "body" "mean" "z" -0.972618990744681
"1" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.955025489574468
"1" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.981952653829787
"1" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.949894457978723
"1" "sitting" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.961404371489362
"1" "sitting" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.974116568297872
"1" "sitting" "fourier.transform" "gyroscope" "body" "mean" "x" -0.976161464042553
"1" "sitting" "fourier.transform" "gyroscope" "body" "mean" "y" -0.975838585319149
"1" "sitting" "fourier.transform" "gyroscope" "body" "mean" "z" -0.951315544468085
"1" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.95962399606383
"1" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.977904227021277
"1" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "y" -0.962345042553192
"1" "sitting" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.94391784106383
"1" "sitting" "time" "accelerometer" "body" "mean" "magnitude" -0.967950490851064
"1" "sitting" "time" "accelerometer" "body" "mean" "x" 0.169360042691489
"1" "sitting" "time" "accelerometer" "body" "mean" "y" -0.000963695218404256
"1" "sitting" "time" "accelerometer" "body" "mean" "z" -0.053955987302766
"1" "sitting" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.955599221382979
"1" "sitting" "time" "accelerometer" "body" "std.deviation" "x" -0.981829859787234
"1" "sitting" "time" "accelerometer" "body" "std.deviation" "y" -0.951995303617021
"1" "sitting" "time" "accelerometer" "body" "std.deviation" "z" -0.963748547765957
"1" "sitting" "time" "accelerometer" "gravity" "mean" "magnitude" -0.948536786170213
"1" "sitting" "time" "accelerometer" "gravity" "mean" "x" 0.831509933404255
"1" "sitting" "time" "accelerometer" "gravity" "mean" "y" 0.204411592680851
"1" "sitting" "time" "accelerometer" "gravity" "mean" "z" 0.332043702765957
"1" "sitting" "time" "accelerometer" "gravity" "std.deviation" "magnitude" -0.927078418723404
"1" "sitting" "time" "accelerometer" "gravity" "std.deviation" "x" -0.968457145744681
"1" "sitting" "time" "accelerometer" "gravity" "std.deviation" "y" -0.935517055957447
"1" "sitting" "time" "accelerometer" "gravity" "std.deviation" "z" -0.949040933191489
"1" "sitting" "time" "gyroscope" "body" "mean" "magnitude" -0.961434415638298
"1" "sitting" "time" "gyroscope" "body" "mean" "x" -0.0695147186180851
"1" "sitting" "time" "gyroscope" "body" "mean" "y" -0.0660679836808511
"1" "sitting" "time" "gyroscope" "body" "mean" "z" 0.00811437709574468
"1" "sitting" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.961420284468085
"1" "sitting" "time" "gyroscope" "body" "std.deviation" "x" -0.984471437659574
"1" "sitting" "time" "gyroscope" "body" "std.deviation" "y" -0.977995981914894
"1" "sitting" "time" "gyroscope" "body" "std.deviation" "z" -0.964680863617021
"1" "standing" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.988949419339623
"1" "standing" "fourier.transform" "accelerometer" "body" "mean" "x" -0.994940365
"1" "standing" "fourier.transform" "accelerometer" "body" "mean" "y" -0.981244776132076
"1" "standing" "fourier.transform" "accelerometer" "body" "mean" "z" -0.988024632358491
"1" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.987424904056604
"1" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.995551052169811
"1" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.979655664433962
"1" "standing" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.985143538867924
"1" "standing" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.989716500188679
"1" "standing" "fourier.transform" "gyroscope" "body" "mean" "x" -0.986386786037736
"1" "standing" "fourier.transform" "gyroscope" "body" "mean" "y" -0.988984455849057
"1" "standing" "fourier.transform" "gyroscope" "body" "mean" "z" -0.980773122830189
"1" "standing" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.986568597641509
"1" "standing" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.987497128679245
"1" "standing" "fourier.transform" "gyroscope" "body" "std.deviation" "y" -0.987107727735849
"1" "standing" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.98234533
"1" "standing" "time" "accelerometer" "body" "mean" "magnitude" -0.988322998962264
"1" "standing" "time" "accelerometer" "body" "mean" "x" 0.177147141641509
"1" "standing" "time" "accelerometer" "body" "mean" "y" -0.00408092958773585
"1" "standing" "time" "accelerometer" "body" "mean" "z" -0.0571435336414717
"1" "standing" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.987519569150943
"1" "standing" "time" "accelerometer" "body" "std.deviation" "x" -0.995182221886793
"1" "standing" "time" "accelerometer" "body" "std.deviation" "y" -0.979419394433962
"1" "standing" "time" "accelerometer" "body" "std.deviation" "z" -0.986013527169811
"1" "standing" "time" "accelerometer" "gravity" "mean" "magnitude" -0.984278207358491
"1" "standing" "time" "accelerometer" "gravity" "mean" "x" 0.942952000377358
"1" "standing" "time" "accelerometer" "gravity" "mean" "y" -0.272983832264151
"1" "standing" "time" "accelerometer" "gravity" "mean" "z" 0.0134905823226415
"1" "standing" "time" "accelerometer" "gravity" "std.deviation" "magnitude" -0.981942928867925
"1" "standing" "time" "accelerometer" "gravity" "std.deviation" "x" -0.99376298509434
"1" "standing" "time" "accelerometer" "gravity" "std.deviation" "y" -0.981225957924528
"1" "standing" "time" "accelerometer" "gravity" "std.deviation" "z" -0.976324063584906
"1" "standing" "time" "gyroscope" "body" "mean" "magnitude" -0.985730291698113
"1" "standing" "time" "gyroscope" "body" "mean" "x" -0.0617984738517925
"1" "standing" "time" "gyroscope" "body" "mean" "y" -0.0517300043867925
"1" "standing" "time" "gyroscope" "body" "mean" "z" 0.0129251021641509
"1" "standing" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.986711633679245
"1" "standing" "time" "gyroscope" "body" "std.deviation" "x" -0.990068526792453
"1" "standing" "time" "gyroscope" "body" "std.deviation" "y" -0.991436178679245
"1" "standing" "time" "gyroscope" "body" "std.deviation" "z" -0.986377047075472
"1" "walking" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.0928714253318947
"1" "walking" "fourier.transform" "accelerometer" "body" "mean" "x" -0.186670635437947
"1" "walking" "fourier.transform" "accelerometer" "body" "mean" "y" 0.0272436011445211
"1" "walking" "fourier.transform" "accelerometer" "body" "mean" "z" -0.400279671210526
"1" "walking" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.250762494922105
"1" "walking" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.226360662952632
"1" "walking" "fourier.transform" "accelerometer" "body" "std.deviation" "y" 0.081389931991
"1" "walking" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.407200095957895
"1" "walking" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.259280581382632
"1" "walking" "fourier.transform" "gyroscope" "body" "mean" "x" -0.339032197115789
"1" "walking" "fourier.transform" "gyroscope" "body" "mean" "y" -0.103059416434737
"1" "walking" "fourier.transform" "gyroscope" "body" "mean" "z" -0.255940940315789
"1" "walking" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.351309932842105
"1" "walking" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.516691938736842
"1" "walking" "fourier.transform" "gyroscope" "body" "std.deviation" "y" -0.0335081597884211
"1" "walking" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.436562227473684
"1" "walking" "time" "accelerometer" "body" "mean" "magnitude" -0.139199992794211
"1" "walking" "time" "accelerometer" "body" "mean" "x" 0.175686196026316
"1" "walking" "time" "accelerometer" "body" "mean" "y" 0.00544414553052632
"1" "walking" "time" "accelerometer" "body" "mean" "z" -0.0576582548626316
"1" "walking" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.147080197847053
"1" "walking" "time" "accelerometer" "body" "std.deviation" "x" -0.198677930638947
"1" "walking" "time" "accelerometer" "body" "std.deviation" "y" 0.0907319187578947
"1" "walking" "time" "accelerometer" "body" "std.deviation" "z" -0.381363845368421
"1" "walking" "time" "accelerometer" "gravity" "mean" "magnitude" -0.136971176556842
"1" "walking" "time" "accelerometer" "gravity" "mean" "x" 0.935223201473684
"1" "walking" "time" "accelerometer" "gravity" "mean" "y" -0.282165021263158
"1" "walking" "time" "accelerometer" "gravity" "mean" "z" -0.068102864
"1" "walking" "time" "accelerometer" "gravity" "std.deviation" "magnitude" -0.219688645631579
"1" "walking" "time" "accelerometer" "gravity" "std.deviation" "x" -0.976609642526316
"1" "walking" "time" "accelerometer" "gravity" "std.deviation" "y" -0.971305961473684
"1" "walking" "time" "accelerometer" "gravity" "std.deviation" "z" -0.947717226105263
"1" "walking" "time" "gyroscope" "body" "mean" "magnitude" -0.229841615810526
"1" "walking" "time" "gyroscope" "body" "mean" "x" -0.0659142529482632
"1" "walking" "time" "gyroscope" "body" "mean" "y" -0.0546864585789474
"1" "walking" "time" "gyroscope" "body" "mean" "z" 0.0194069439010526
"1" "walking" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.256151621710526
"1" "walking" "time" "gyroscope" "body" "std.deviation" "x" -0.340478670326316
"1" "walking" "time" "gyroscope" "body" "std.deviation" "y" -0.179538139645526
"1" "walking" "time" "gyroscope" "body" "std.deviation" "z" -0.374261041052632
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "mean" "magnitude" 0.0614015146183673
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "mean" "x" 0.00528265776938775
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "mean" "y" -0.0635586249065306
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "mean" "z" -0.256954603704082
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.1452912809
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.0309985287507143
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.123771874415306
"1" "walking_downstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.349824679489796
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.233841822461224
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "mean" "x" -0.352449631363265
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "mean" "y" -0.0557022524693878
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "mean" "z" -0.0318694271979592
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.395135133367347
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.495422486102041
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "y" -0.181414728657143
"1" "walking_downstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.238443565306122
"1" "walking_downstairs" "time" "accelerometer" "body" "mean" "magnitude" -0.0311295946936735
"1" "walking_downstairs" "time" "accelerometer" "body" "mean" "x" 0.17167181844898
"1" "walking_downstairs" "time" "accelerometer" "body" "mean" "y" 0.00986597221530612
"1" "walking_downstairs" "time" "accelerometer" "body" "mean" "z" -0.0592690819632653
"1" "walking_downstairs" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.00295168454081633
"1" "walking_downstairs" "time" "accelerometer" "body" "std.deviation" "x" 0.0088757389017449
"1" "walking_downstairs" "time" "accelerometer" "body" "std.deviation" "y" -0.066768667044898
"1" "walking_downstairs" "time" "accelerometer" "body" "std.deviation" "z" -0.288084622765306
"1" "walking_downstairs" "time" "accelerometer" "gravity" "mean" "magnitude" 0.0271882914106122
"1" "walking_downstairs" "time" "accelerometer" "gravity" "mean" "x" 0.931874418979592
"1" "walking_downstairs" "time" "accelerometer" "gravity" "mean" "y" -0.266610338979592
"1" "walking_downstairs" "time" "accelerometer" "gravity" "mean" "z" -0.0621199585938775
"1" "walking_downstairs" "time" "accelerometer" "gravity" "std.deviation" "magnitude" 0.0198843506265306
"1" "walking_downstairs" "time" "accelerometer" "gravity" "std.deviation" "x" -0.950559811632653
"1" "walking_downstairs" "time" "accelerometer" "gravity" "std.deviation" "y" -0.937018658979592
"1" "walking_downstairs" "time" "accelerometer" "gravity" "std.deviation" "z" -0.895939695102041
"1" "walking_downstairs" "time" "gyroscope" "body" "mean" "magnitude" -0.185602548857143
"1" "walking_downstairs" "time" "gyroscope" "body" "mean" "x" -0.0545186969630612
"1" "walking_downstairs" "time" "gyroscope" "body" "mean" "y" -0.0674637036785714
"1" "walking_downstairs" "time" "gyroscope" "body" "mean" "z" 0.0315194540484694
"1" "walking_downstairs" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.266117506795918
"1" "walking_downstairs" "time" "gyroscope" "body" "std.deviation" "x" -0.472528942591837
"1" "walking_downstairs" "time" "gyroscope" "body" "std.deviation" "y" -0.182587011234694
"1" "walking_downstairs" "time" "gyroscope" "body" "std.deviation" "z" -0.196731967242857
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.397524053584906
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "mean" "x" -0.44209851490566
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "mean" "y" -0.302210654179245
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "mean" "z" -0.559412028018868
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "magnitude" -0.474659977641509
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "x" -0.399667607264151
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "y" -0.180003777313208
"1" "walking_upstairs" "fourier.transform" "accelerometer" "body" "std.deviation" "z" -0.320041823184906
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "mean" "magnitude" -0.480313269735849
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "mean" "x" -0.492611667924528
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "mean" "y" -0.319474609056604
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "mean" "z" -0.453597213018868
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "magnitude" -0.438458019886792
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "x" -0.565892490754717
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "y" 0.151538905566038
"1" "walking_upstairs" "fourier.transform" "gyroscope" "body" "std.deviation" "z" -0.57170784
"1" "walking_upstairs" "time" "accelerometer" "body" "mean" "magnitude" -0.298215538481132
"1" "walking_upstairs" "time" "accelerometer" "body" "mean" "x" 0.178417209772641
"1" "walking_upstairs" "time" "accelerometer" "body" "mean" "y" -0.00223342082273585
"1" "walking_upstairs" "time" "accelerometer" "body" "mean" "z" -0.0714322735028302
"1" "walking_upstairs" "time" "accelerometer" "body" "std.deviation" "magnitude" -0.401981275660377
"1" "walking_upstairs" "time" "accelerometer" "body" "std.deviation" "x" -0.400775956415094
"1" "walking_upstairs" "time" "accelerometer" "body" "std.deviation" "y" -0.190297345527358
"1" "walking_upstairs" "time" "accelerometer" "body" "std.deviation" "z" -0.363036384895283
"1" "walking_upstairs" "time" "accelerometer" "gravity" "mean" "magnitude" -0.129927630735849
"1" "walking_upstairs" "time" "accelerometer" "gravity" "mean" "x" 0.89335109754717
"1" "walking_upstairs" "time" "accelerometer" "gravity" "mean" "y" -0.362153364339623
"1" "walking_upstairs" "time" "accelerometer" "gravity" "mean" "z" -0.075402939754717
"1" "walking_upstairs" "time" "accelerometer" "gravity" "std.deviation" "magnitude" -0.324970929245283
"1" "walking_upstairs" "time" "accelerometer" "gravity" "std.deviation" "x" -0.956367027924528
"1" "walking_upstairs" "time" "accelerometer" "gravity" "std.deviation" "y" -0.952849233207547
"1" "walking_upstairs" "time" "accelerometer" "gravity" "std.deviation" "z" -0.912379410377358
"1" "walking_upstairs" "time" "gyroscope" "body" "mean" "magnitude" -0.360809227532075
"1" "walking_upstairs" "time" "gyroscope" "body" "mean" "x" -0.0358416941283019
"1" "walking_upstairs" "time" "gyroscope" "body" "mean" "y" -0.104159301769811
"1" "walking_upstairs" "time" "gyroscope" "body" "mean" "z" 0.00882349681632076
"1" "walking_upstairs" "time" "gyroscope" "body" "std.deviation" "magnitude" -0.398586181196226
"1" "walking_upstairs" "time" "gyroscope" "body" "std.deviation" "x" -0.579828806509434
"1" "walking_upstairs" "time" "gyroscope" "body" "std.deviation" "y" -0.298795736214151
"1" "walking_upstairs" "time" "gyroscope" "body" "std.deviation" "z" -0.556750338584906
"10" "laying" "fourier.transform" "accelerometer" "body" "mean" "magnitude" -0.959704615344828
"10" "laying" "fourier.transform" "accelerometer" "body" "mean" "x" -0.974099438706897
